Release Date,Time,Actual,Forecast,Previous
"May 24, 2016 (May)",7:00,7.50%,7.50%,7.50%
"Apr 20, 2016 (Apr)",7:00,7.50%,7.50%,7.50%
"Mar 24, 2016 (Mar)",8:00,7.50%,7.50%,7.50%
"Feb 23, 2016 (Feb)",8:00,7.50%,7.50%,7.50%
"Jan 19, 2016 (Jan)",8:00,7.50%,7.50%,7.50%
"Dec 22, 2015 (Dec)",8:00,7.50%,8.00%,7.50%
"Nov 24, 2015 (Nov)",8:00,7.50%,7.50%,7.50%
"Oct 21, 2015 (Oct)",7:00,7.50%,7.50%,7.50%
"Sep 22, 2015 (Sep)",7:00,7.50%,7.50%,7.50%
"Aug 18, 2015 (Aug)",7:00,7.50%,7.50%,7.50%
"Jul 23, 2015 (Jul)",7:00,7.50%,7.50%,7.50%
"Jun 23, 2015 (Jun)",7:00,7.50%,7.50%,7.50%
"May 20, 2015 (May)",7:00,7.50%,7.50%,7.50%
"Apr 22, 2015 (Apr)",7:00,7.50%,7.50%,7.50%
"Mar 17, 2015 (Mar)",8:00,7.50%,7.50%,7.50%
"Feb 24, 2015 (Feb)",8:00,7.50%,7.25%,7.75%
"Jan 20, 2015 (Jan)",8:00,7.75%,8.25%,8.25%
"Dec 24, 2014 (Dec)",8:00,8.25%,8.25%,8.25%
"Nov 20, 2014 (Nov)",8:00,8.25%,8.25%,8.25%
"Oct 23, 2014 (Oct)",7:00,8.25%,8.25%,8.25%
"Sep 25, 2014 (Sep)",7:00,8.25%,8.25%,8.25%
"Aug 27, 2014",7:00,8.25%,8.25%,8.25%
"Jul 17, 2014",7:00,8.25%,8.25%,8.75%
"Jun 24, 2014",7:00,8.75%,9.00%,9.50%
22-May-14,7:00,9.50%,10.00%,10.00%
"Apr 24, 2014",7:00,10.00%,10.00%,10.00%
18-Mar-14,8:00,10.00%,10.00%,10.00%
"Feb 18, 2014",8:00,10.00%,10.00%,10.00%
"Jan 28, 2014",18:00,10.00%,6.50%,4.50%
"Jan 21, 2014",8:00,4.50%,4.50%,4.50%
"Dec 17, 2013",8:00,4.50%,4.50%,4.50%
"Nov 19, 2013",8:00,4.50%,4.50%,4.50%
"Oct 01, 2013 (Sep)",5:00,4.50%, ,4.50%
"Sep 01, 2013 (Aug)",5:00,4.50%, ,4.50%
"Aug 01, 2013 (Jul)",5:00,4.50%, ,4.50%
"Jul 01, 2013 (Jun)",5:00,4.50%, ,4.50%
"Jun 01, 2013 (May)",5:00,4.50%, ,5.00%
"May 01, 2013 (Apr)",5:00,5.00%, ,5.50%
"Apr 01, 2013 (Mar)",5:00,5.50%, ,5.50%
"Mar 01, 2013 (Feb)",5:00,5.50%, ,5.50%
"Feb 01, 2013 (Jan)",5:00,5.50%, ,5.50%
"Jan 01, 2013 (Dec)",5:00,5.50%, ,5.75%
"Dec 01, 2012 (Nov)",5:00,5.75%, ,5.75%
"Nov 01, 2012 (Oct)",5:00,5.75%, ,5.75%
"Oct 01, 2012 (Sep)",5:00,5.75%, ,5.75%
"Sep 01, 2012 (Aug)",5:00,5.75%, ,5.75%
"Aug 01, 2012 (Jul)",5:00,5.75%, ,5.75%
"Jul 01, 2012 (Jun)",5:00,5.75%, ,5.75%
"Jun 01, 2012 (May)",5:00,5.75%, ,5.75%
"May 01, 2012 (Apr)",5:00,5.75%, ,5.75%
"Apr 01, 2012 (Mar)",5:00,5.75%, ,5.75%
"Mar 01, 2012 (Feb)",5:00,5.75%, ,5.75%
"Feb 01, 2012 (Jan)",5:00,5.75%, ,5.75%
"Jan 01, 2012 (Dec)",5:00,5.75%, ,5.75%
"Dec 01, 2011 (Nov)",5:00,5.75%, ,5.75%
"Nov 01, 2011 (Oct)",5:00,5.75%, ,5.75%
"Oct 01, 2011 (Sep)",5:00,5.75%, ,5.75%
"Sep 01, 2011 (Aug)",5:00,5.75%, ,6.25%
"Aug 01, 2011 (Jul)",5:00,6.25%, ,6.25%
"Jul 01, 2011 (Jun)",5:00,6.25%, ,6.25%
"Jun 01, 2011 (May)",5:00,6.25%, ,6.25%
"May 01, 2011 (Apr)",5:00,6.25%, ,6.25%
"Apr 01, 2011 (Mar)",5:00,6.25%, ,6.25%
"Mar 01, 2011 (Feb)",5:00,6.25%, ,6.25%
"Feb 01, 2011 (Jan)",5:00,6.25%, ,6.50%
"Jan 01, 2011 (Dec)",5:00,6.50%, ,7.00%
"Dec 01, 2010 (Nov)",5:00,7.00%, ,7.00%
"Nov 01, 2010 (Oct)",5:00,7.00%, ,7.00%
"Oct 01, 2010 (Sep)",5:00,7.00%, ,7.00%
"Sep 01, 2010 (Aug)",5:00,7.00%, ,7.00%
"Aug 01, 2010 (Jul)",5:00,7.00%, ,7.00%
"Jul 01, 2010 (Jun)",5:00,7.00%, ,7.00%
"Jun 01, 2010 (May)",5:00,7.00%,,
