"Date","Price","Open","High","Low","Vol.","Change %"
"08/22/2021","3.1580","3.2010","3.2010","3.2010","","-1.14%"
"08/15/2021","3.1944","3.2009","3.2009","3.2009","","-0.40%"
"08/08/2021","3.2073","3.2062","3.2062","3.2062","","0.32%"
"08/01/2021","3.1969","3.1557","3.1557","3.1557","","0.39%"
"07/25/2021","3.1845","3.1874","3.1874","3.1874","","-0.02%"
"07/18/2021","3.1850","3.1850","3.1850","3.1850","","-0.79%"
"07/11/2021","3.2104","3.2104","3.2104","3.2104","","-0.50%"
"07/04/2021","3.2265","3.2265","3.2265","3.2265","","0.13%"
"06/27/2021","3.2224","3.2224","3.2224","3.2224","","0.09%"
"06/20/2021","3.2195","3.2195","3.2195","3.2195","","1.55%"
"06/13/2021","3.1705","3.1705","3.1705","3.1705","","-0.10%"
"06/06/2021","3.1737","3.1737","3.1737","3.1737","","0.02%"
"05/30/2021","3.1732","3.1732","3.1732","3.1732","","2.08%"
"05/23/2021","3.1084","3.1084","3.1084","3.1084","","1.03%"
"05/16/2021","3.0768","3.0768","3.0768","3.0768","","0.95%"
"05/09/2021","3.0478","3.0478","3.0478","3.0478","","0.40%"
"05/02/2021","3.0356","3.0356","3.0356","3.0356","","2.37%"
"04/25/2021","2.9653","2.9653","2.9653","2.9653","","0.26%"
"04/18/2021","2.9576","2.9576","2.9576","2.9576","","1.72%"
"04/11/2021","2.9075","2.9075","2.9075","2.9075","","-0.16%"
"04/04/2021","2.9122","2.9122","2.9122","2.9122","","0.76%"
"03/28/2021","2.8901","2.8901","2.8901","2.8901","","3.12%"
"03/21/2021","2.8026","2.8026","2.8026","2.8026","","0.90%"
"03/14/2021","2.7775","2.7775","2.7775","2.7775","","0.42%"
"03/07/2021","2.7660","2.7660","2.7660","2.7660","","-0.21%"
"02/28/2021","2.7718","2.7718","2.7718","2.7718","","2.67%"
"02/21/2021","2.6998","2.6998","2.6998","2.6998","","2.72%"
"02/14/2021","2.6283","2.6283","2.6283","2.6283","","-0.88%"
"02/07/2021","2.6517","2.6517","2.6517","2.6517","","-0.76%"
"01/31/2021","2.6720","2.6720","2.6720","2.6720","","-2.04%"
"01/24/2021","2.7278","2.7278","2.7278","2.7278","","0.07%"
"01/17/2021","2.7260","2.7260","2.7260","2.7260","","0.03%"
"01/10/2021","2.7251","2.7251","2.7251","2.7251","","1.34%"
"01/03/2021","2.6890","2.6890","2.6890","2.6890","","-0.65%"
"12/27/2020","2.7065","2.7065","2.7065","2.7065","","-3.14%"
"12/20/2020","2.7944","2.7944","2.7944","2.7944","","-1.41%"
"12/13/2020","2.8344","2.8344","2.8344","2.8344","","-0.24%"
"12/06/2020","2.8412","2.8412","2.8412","2.8412","","0.08%"
"11/29/2020","2.8388","2.8388","2.8388","2.8388","","0.08%"
"11/22/2020","2.8365","2.8365","2.8365","2.8365","","2.55%"
