country,age,time,childhood
NOR,AGE_5,2012,97.341
NOR,AGE_5,2013,97.636
NOR,AGE_5,2014,97.538
NOR,AGE_5,2015,97.531
NOR,AGE_5,2016,97.307
NOR,AGE_5,2017,97.517
NOR,AGE_5,2018,97.633
NOR,AGE_5,2019,97.617
NOR,AGE_5,2020,97.484
POL,AGE_3,2005,27.838
POL,AGE_3,2010,44.793
POL,AGE_3,2011,48.149
POL,AGE_3,2012,51.656
POL,AGE_3,2013,52.841
POL,AGE_3,2014,57.707
POL,AGE_3,2015,65.181
POL,AGE_3,2016,70.546
POL,AGE_3,2017,67.126
POL,AGE_3,2018,73.572
POL,AGE_3,2019,77.607
POL,AGE_3,2020,78.466
POL,AGE_4,2005,38.142
POL,AGE_4,2010,58.766
POL,AGE_4,2011,62.871
POL,AGE_4,2012,66.235
POL,AGE_4,2013,67.143
POL,AGE_4,2014,71.504
POL,AGE_4,2015,79.387
POL,AGE_4,2016,85.603
POL,AGE_4,2017,84.579
POL,AGE_4,2018,86.651
POL,AGE_4,2019,89.187
POL,AGE_4,2020,91.229
POL,AGE_5,2005,48.511
POL,AGE_5,2010,76.27
POL,AGE_5,2011,84.682
POL,AGE_5,2012,100
POL,AGE_5,2013,100
POL,AGE_5,2014,94.704
POL,AGE_5,2015,95.072
POL,AGE_5,2016,97.786
POL,AGE_5,2017,92.471
POL,AGE_5,2018,93.446
POL,AGE_5,2019,94.838
POL,AGE_5,2020,95.596
PRT,AGE_3,2005,64.147
PRT,AGE_3,2010,77.63
PRT,AGE_3,2017,86.515
PRT,AGE_3,2018,85.233
PRT,AGE_3,2019,83.678
PRT,AGE_4,2005,79.272
PRT,AGE_4,2010,87.027
PRT,AGE_4,2017,92.941
PRT,AGE_4,2018,93.209
PRT,AGE_4,2019,95.415
PRT,AGE_5,2005,88.948
PRT,AGE_5,2010,95.583
PRT,AGE_5,2011,96.893
PRT,AGE_5,2012,98.294
PRT,AGE_5,2017,95.66
PRT,AGE_5,2018,94.196
PRT,AGE_5,2019,97.869
PRT,AGE_5,2020,100
SVK,AGE_3,2000,56.119
SVK,AGE_3,2005,60.428
SVK,AGE_3,2010,59.918
SVK,AGE_3,2011,60.097
SVK,AGE_3,2012,62.528
SVK,AGE_3,2013,62.582
SVK,AGE_3,2014,63.957
SVK,AGE_3,2015,60.288
SVK,AGE_3,2016,66.738
SVK,AGE_3,2017,68.098
SVK,AGE_3,2018,68.287
SVK,AGE_3,2019,68.33
SVK,AGE_3,2020,68.287
SVK,AGE_4,2000,70.276
SVK,AGE_4,2005,73.337
SVK,AGE_4,2010,72.315
SVK,AGE_4,2011,72.287
SVK,AGE_4,2012,72.768
SVK,AGE_4,2013,73.807
SVK,AGE_4,2014,73.777
SVK,AGE_4,2015,75.588
SVK,AGE_4,2016,71.374
SVK,AGE_4,2017,78.538
SVK,AGE_4,2018,79.305
SVK,AGE_4,2019,79.422
SVK,AGE_4,2020,80.131
SVK,AGE_5,2005,85.018
SVK,AGE_5,2010,81.436
SVK,AGE_5,2011,81.548
SVK,AGE_5,2012,81.379
SVK,AGE_5,2013,81.373
SVK,AGE_5,2014,81.247
SVK,AGE_5,2015,81.218
SVK,AGE_5,2016,81.994
SVK,AGE_5,2017,77.847
SVK,AGE_5,2018,85.047
SVK,AGE_5,2019,85.747
SVK,AGE_5,2020,86.294
ESP,AGE_3,2000,84.384
ESP,AGE_3,2005,94.451
ESP,AGE_3,2010,95.641
ESP,AGE_3,2011,95.58
ESP,AGE_3,2012,95.231
ESP,AGE_3,2013,95.76
ESP,AGE_3,2014,95.865
ESP,AGE_3,2015,94.917
ESP,AGE_3,2016,96.236
ESP,AGE_3,2017,96.347
ESP,AGE_3,2018,96.546
ESP,AGE_3,2019,96.125
ESP,AGE_3,2020,96.194
ESP,AGE_4,2000,98.876
ESP,AGE_4,2005,98.885
ESP,AGE_4,2010,97.343
ESP,AGE_4,2011,97.319
ESP,AGE_4,2012,96.975
ESP,AGE_4,2013,96.705
ESP,AGE_4,2014,97.173
ESP,AGE_4,2015,97.427
ESP,AGE_4,2016,96.405
ESP,AGE_4,2017,97.712
ESP,AGE_4,2018,97.586
ESP,AGE_4,2019,97.543
ESP,AGE_4,2020,97.429
ESP,AGE_5,2005,99.677
ESP,AGE_5,2010,98.503
ESP,AGE_5,2011,98.14
ESP,AGE_5,2012,97.729
ESP,AGE_5,2013,97.462
ESP,AGE_5,2014,97.076
ESP,AGE_5,2015,97.903
ESP,AGE_5,2016,98.105
ESP,AGE_5,2017,97.129
ESP,AGE_5,2018,98.358
ESP,AGE_5,2019,98.12
ESP,AGE_5,2020,98.02
SWE,AGE_3,2010,90.491
SWE,AGE_3,2013,92.915
SWE,AGE_3,2014,93.17
SWE,AGE_3,2015,91.412
SWE,AGE_3,2016,92.113
SWE,AGE_3,2017,92.756
SWE,AGE_3,2018,92.445
SWE,AGE_3,2019,93.386
SWE,AGE_3,2020,93.899
SWE,AGE_4,2010,93.645
SWE,AGE_4,2013,94.466
SWE,AGE_4,2014,94.57
SWE,AGE_4,2015,92.927
SWE,AGE_4,2016,93.654
SWE,AGE_4,2017,94.269
SWE,AGE_4,2018,94.074
SWE,AGE_4,2019,94.585
SWE,AGE_4,2020,95.173
SWE,AGE_5,2010,94.633
SWE,AGE_5,2013,95.336
SWE,AGE_5,2014,95.139
SWE,AGE_5,2015,93.756
SWE,AGE_5,2016,94.573
SWE,AGE_5,2017,95.204
SWE,AGE_5,2018,94.886
SWE,AGE_5,2019,95.391
SWE,AGE_5,2020,95.789
CHE,AGE_3,2005,8.588
CHE,AGE_3,2010,3.832
CHE,AGE_3,2011,3.616
CHE,AGE_3,2012,3.344
CHE,AGE_3,2013,3.135
CHE,AGE_3,2014,3.117
CHE,AGE_3,2015,2.78
CHE,AGE_3,2016,2.492
CHE,AGE_3,2017,2.409
CHE,AGE_3,2018,2.462
CHE,AGE_3,2019,2.368
CHE,AGE_3,2020,2.332
CHE,AGE_4,2005,38.604
CHE,AGE_4,2010,40.878
CHE,AGE_4,2011,40.727
CHE,AGE_4,2012,40.079
CHE,AGE_4,2013,41.404
CHE,AGE_4,2014,44.218
CHE,AGE_4,2015,46.509
CHE,AGE_4,2016,48.052
CHE,AGE_4,2017,48.133
CHE,AGE_4,2018,48.555
CHE,AGE_4,2019,48.735
CHE,AGE_4,2020,49.072
CHE,AGE_5,2005,90.814
CHE,AGE_5,2010,95.171
CHE,AGE_5,2011,95.488
CHE,AGE_5,2012,96.113
CHE,AGE_5,2013,96.755
CHE,AGE_5,2014,98.125
CHE,AGE_5,2015,98.29
CHE,AGE_5,2016,98.503
