"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2020","0.0555","0.0555","0.0555","0.0555","","5.78%"
"11/01/2020","0.0525","0.0525","0.0525","0.0525","","28.18%"
"10/01/2020","0.0410","0.0410","0.0410","0.0410","","2.35%"
"09/01/2020","0.0400","0.0400","0.0400","0.0400","","-0.20%"
"08/01/2020","0.0401","0.0401","0.0401","0.0401","","-3.38%"
"07/01/2020","0.0415","0.0415","0.0415","0.0415","","-13.53%"
"06/01/2020","0.0480","0.0480","0.0480","0.0480","","10.56%"
"05/01/2020","0.0434","0.0434","0.0434","0.0434","","-3.20%"
"04/01/2020","0.0449","0.0449","0.0449","0.0449","","6.45%"
"03/01/2020","0.0421","0.0421","0.0421","0.0421","","-21.23%"
"02/01/2020","0.0535","0.0535","0.0535","0.0535","","-14.74%"
"01/01/2020","0.0627","0.0627","0.0627","0.0627","","9.96%"
"12/01/2019","0.0571","0.0571","0.0571","0.0571","","6.87%"
"11/01/2019","0.0534","0.0534","0.0534","0.0534","","9.01%"
"10/01/2019","0.0490","0.0490","0.0490","0.0490","","-11.30%"
"09/01/2019","0.0552","0.0552","0.0552","0.0552","","15.60%"
"08/01/2019","0.0478","0.0478","0.0478","0.0478","","-9.25%"
"07/01/2019","0.0526","0.0526","0.0526","0.0526","","10.41%"
"06/01/2019","0.0477","0.0477","0.0477","0.0477","","12.68%"
"05/01/2019","0.0423","0.0423","0.0423","0.0423","","-2.69%"
"04/01/2019","0.0435","0.0435","0.0435","0.0435","","-0.67%"
"03/01/2019","0.0438","0.0438","0.0438","0.0438","","-9.91%"
"02/01/2019","0.0486","0.0486","0.0486","0.0486","","-2.12%"
"01/01/2019","0.0496","0.0496","0.0496","0.0496","","18.84%"
"12/01/2018","0.0418","0.0418","0.0418","0.0418","","-3.48%"
"11/01/2018","0.0433","0.0433","0.0433","0.0433","","11.20%"
"10/01/2018","0.0389","0.0389","0.0389","0.0389","","-5.69%"
"09/01/2018","0.0413","0.0413","0.0413","0.0413","","13.05%"
"08/01/2018","0.0365","0.0365","0.0365","0.0365","","-13.66%"
"07/01/2018","0.0423","0.0423","0.0423","0.0423","","-11.02%"
"06/01/2018","0.0475","0.0475","0.0475","0.0475","","-10.07%"
"05/01/2018","0.0528","0.0528","0.0528","0.0528","","-3.12%"
"04/01/2018","0.0545","0.0545","0.0545","0.0545","","-7.27%"
"03/01/2018","0.0588","0.0588","0.0588","0.0588","","-6.95%"
"02/01/2018","0.0632","0.0632","0.0632","0.0632","","-1.83%"
"01/01/2018","0.0644","0.0644","0.0644","0.0644","","9.55%"
"12/01/2017","0.0588","0.0588","0.0588","0.0588","","12.85%"
"11/01/2017","0.0521","0.0521","0.0521","0.0521","","-9.76%"
"10/01/2017","0.0577","0.0577","0.0577","0.0577","","0.75%"
"09/01/2017","0.0573","0.0573","0.0573","0.0573","","-10.17%"
"08/01/2017","0.0638","0.0638","0.0638","0.0638","","1.07%"
"07/01/2017","0.0631","0.0631","0.0631","0.0631","","6.29%"
"06/01/2017","0.0593","0.0593","0.0593","0.0593","","4.33%"
"05/01/2017","0.0569","0.0569","0.0569","0.0569","","1.28%"
"04/01/2017","0.0562","0.0562","0.0562","0.0562","","9.24%"
"03/01/2017","0.0514","0.0514","0.0514","0.0514","","-0.15%"
"02/01/2017","0.0515","0.0515","0.0515","0.0515","","5.98%"
"01/01/2017","0.0486","0.0486","0.0486","0.0486","","5.26%"
"12/01/2016","0.0462","0.0462","0.0462","0.0462","","4.21%"
"11/01/2016","0.0443","0.0443","0.0443","0.0443","","-6.51%"
"10/01/2016","0.0474","0.0474","0.0474","0.0474","","1.34%"
"09/01/2016","0.0468","0.0468","0.0468","0.0468","","2.68%"
"08/01/2016","0.0455","0.0455","0.0455","0.0455","","3.95%"
"07/01/2016","0.0438","0.0438","0.0438","0.0438","","-4.61%"
"06/01/2016","0.0459","0.0459","0.0459","0.0459","","-0.60%"
"05/01/2016","0.0462","0.0462","0.0462","0.0462","","-7.71%"
"04/01/2016","0.0501","0.0501","0.0501","0.0501","","5.43%"
