country,time,household
POL,2005,161.1374
POL,2006,161.691
POL,2007,165.5545
POL,2008,134.5078
POL,2009,135.5217
POL,2010,136.5964
POL,2011,134.4356
POL,2012,143.5686
POL,2013,152.7335
POL,2014,155.2289
POL,2015,160.7456
POL,2016,165.653
POL,2017,163.3737
POL,2018,162.1763
POL,2019,160.2933
BEL,1995,527.2327
BEL,1996,560.5812
BEL,1997,585.7003
BEL,1998,591.0121
BEL,1999,623.733
BEL,2000,603.4872
BEL,2001,589.6854
BEL,2002,561.6216
BEL,2003,580.2659
BEL,2004,613.3735
BEL,2005,638.2623
BEL,2006,631.4677
BEL,2007,621.5638
BEL,2008,572.1365
BEL,2009,616.6937
BEL,2010,643.433
BEL,2011,632.6113
BEL,2012,642.4483
BEL,2013,652.2764
BEL,2014,669.1803
BEL,2015,682.4771
BEL,2016,685.0029
BEL,2017,672.2722
BEL,2018,646.8352
BEL,2019,665.0049
BEL,2020,676.1916
BEL,2021,688.0935
DEU,1995,315.7014
DEU,1996,323.6611
DEU,1997,337.7769
DEU,1998,349.532
DEU,1999,359.5889
DEU,2000,363.2665
DEU,2001,356.8474
DEU,2002,355.6972
DEU,2003,365.2098
DEU,2004,375.2159
DEU,2005,390.0267
DEU,2006,388.9644
DEU,2007,414.2676
DEU,2008,401.5665
DEU,2009,420.8963
DEU,2010,427.646
DEU,2011,424.1301
DEU,2012,436.8998
DEU,2013,452.6975
DEU,2014,462.4353
DEU,2015,468.6908
DEU,2016,471.558
DEU,2017,479.5103
DEU,2018,476.7007
DEU,2019,500.4438
DEU,2020,518.0353
SWE,1995,228.009
SWE,1996,270.1902
SWE,1997,324.8855
SWE,1998,354.6739
SWE,1999,409.5311
SWE,2000,395.9106
SWE,2001,361.8783
SWE,2002,349.8527
SWE,2003,381.6864
SWE,2004,399.2427
SWE,2005,455.0576
SWE,2006,481.3065
SWE,2007,461.5789
SWE,2008,412.9656
SWE,2009,448.8596
SWE,2010,475.3922
SWE,2011,432.2158
SWE,2012,434.0796
SWE,2013,471.7364
SWE,2014,525.9233
SWE,2015,551.2627
SWE,2016,580.5525
SWE,2017,594.7915
SWE,2018,563.0043
SWE,2019,623.3604
DNK,1995,344.2535
DNK,1996,364.7772
DNK,1997,403.3148
DNK,1998,403.8329
DNK,1999,461.7084
DNK,2000,456.5855
DNK,2001,412.0347
DNK,2002,384.2848
DNK,2003,400.2106
DNK,2004,416.1614
DNK,2005,494.6431
DNK,2006,526.9345
DNK,2007,513.9355
DNK,2008,428.417
DNK,2009,422.8199
DNK,2010,452.3412
DNK,2011,447.9567
DNK,2012,498.4937
DNK,2013,509.4614
DNK,2014,552.8384
DNK,2015,568.4469
DNK,2016,697.3796
DNK,2017,707.9941
DNK,2018,681.4474
DNK,2019,748.3281
DNK,2020,823.1193
DNK,2021,988.771
CHL,2003,332.8397
