"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2014","1,235.00","1,099.25","1,235.00","1,077.99","207.20M","10.66%"
"02/01/2014","1,115.98","1,164.91","1,173.47","1,088.27","212.80M","-4.14%"
"01/01/2014","1,164.20","1,220.69","1,233.36","1,100.62","247.30M","-5.08%"
"12/01/2013","1,226.55","1,293.44","1,309.12","1,097.06","375.40M","-5.20%"
"11/01/2013","1,293.86","1,332.92","1,332.92","1,234.84","357.40M","-2.43%"
"10/01/2013","1,326.13","1,217.00","1,354.39","1,213.53","348.60M","9.41%"
"09/01/2013","1,212.10","1,147.71","1,273.23","1,124.60","148.50M","6.04%"
"08/01/2013","1,143.03","1,314.77","1,331.75","1,063.26","140.40M","-12.48%"
"07/01/2013","1,306.03","1,357.97","1,370.13","1,240.78","152.40M","-3.76%"
"06/01/2013","1,357.11","1,295.38","1,357.11","1,137.53","211.10M","0.17%"
"05/01/2013","1,354.75","1,384.33","1,452.54","1,297.01","363.80M","-1.42%"
"04/01/2013","1,374.29","1,360.23","1,449.93","1,274.38","209.80M","1.03%"
"03/01/2013","1,360.28","1,197.48","1,362.98","1,187.66","198.30M","13.72%"
"02/01/2013","1,196.19","1,178.87","1,196.68","1,129.99","216.20M","1.97%"
"01/01/2013","1,173.03","1,113.51","1,206.19","1,109.51","582.90M","5.93%"
"12/01/2012","1,107.33","1,083.60","1,122.44","1,070.93","345.00M","2.01%"
"11/01/2012","1,085.53","1,097.43","1,099.31","1,052.34","229.45M","-1.28%"
"10/01/2012","1,099.63","1,073.95","1,134.51","1,058.36","268.12M","1.69%"
"09/01/2012","1,081.36","1,052.57","1,088.37","1,018.09","179.76M","2.87%"
"08/01/2012","1,051.14","984.55","1,055.12","981.46","245.82M","6.52%"
"07/01/2012","986.79","947.69","1,012.16","936.89","335.38M","4.14%"
"06/01/2012","947.54","882.65","963.22","879.60","289.91M","8.30%"
"05/01/2012","874.91","955.36","975.93","874.89","269.61M","-8.54%"
"04/01/2012","956.56","947.99","959.01","916.64","341.08M","0.79%"
"03/01/2012","949.04","975.21","990.71","910.46","457.54M","-2.76%"
"02/01/2012","975.98","936.98","984.91","934.82","509.63M","4.13%"
"01/01/2012","937.23","877.99","943.06","868.25","404.31M","7.03%"
"12/01/2011","875.66","855.34","915.05","843.26","371.17M","2.20%"
"11/01/2011","856.81","867.30","899.53","821.96","376.38M","-2.11%"
"10/01/2011","875.24","864.91","900.81","832.88","503.77M","-0.72%"
"09/01/2011","881.57","787.70","895.71","764.88","477.09M","13.22%"
"08/01/2011","778.65","890.51","935.14","717.38","322.26M","-13.85%"
"07/01/2011","903.85","899.80","920.44","835.83","276.48M","0.35%"
"06/01/2011","900.70","886.57","916.78","859.28","407.79M","1.07%"
"05/01/2011","891.19","946.88","947.00","862.92","465.14M","-5.25%"
"04/01/2011","940.60","853.90","949.35","850.50","630.70M","10.28%"
"03/01/2011","852.91","816.90","856.31","774.42","395.02M","4.47%"
"02/01/2011","816.41","790.83","838.60","782.59","308.38M","3.54%"
"01/01/2011","788.50","901.42","920.04","774.68","442.53M","-12.36%"
"12/01/2010","899.69","819.31","908.68","813.89","472.74M","9.85%"
"11/01/2010","819.04","862.96","884.63","791.78","389.92M","-4.58%"
"10/01/2010","858.38","834.42","866.51","820.02","439.02M","2.90%"
"09/01/2010","834.17","750.58","861.84","735.65","308.42M","11.11%"
"08/01/2010","750.79","716.60","750.79","713.55","283.74M","4.84%"
"07/01/2010","716.10","709.95","751.95","690.55","439.41M","1.03%"
"06/01/2010","708.80","635.30","718.26","627.08","459.70M","10.85%"
"05/01/2010","639.40","676.67","677.48","608.10","304.11M","-5.33%"
"04/01/2010","675.41","597.64","691.90","593.03","597.09M","13.36%"
"03/01/2010","595.83","592.03","607.92","573.12","479.49M","1.73%"
"02/01/2010","585.72","567.12","594.65","549.55","389.22M","3.32%"
"01/01/2010","566.92","591.78","602.48","547.73","617.96M","-4.47%"
"12/01/2009","593.43","541.44","597.69","531.75","726.28M","9.69%"
"11/01/2009","541.00","567.58","590.63","510.06","155.78M","-5.77%"
"10/01/2009","574.11","551.58","603.18","539.31","","5.10%"
"09/01/2009","546.25","548.06","558.75","499.87","","-0.59%"
"08/01/2009","549.49","515.05","567.67","506.09","","6.90%"
"07/01/2009","514.03","460.87","541.74","443.57","","11.01%"
"06/01/2009","463.05","428.74","465.22","409.55","","9.67%"
"05/01/2009","422.23","385.18","438.63","382.50","","10.53%"
"04/01/2009","382.02","346.30","389.90","337.48","","9.60%"
"03/01/2009","348.55","337.26","351.74","322.76","","1.85%"
"02/01/2009","342.23","349.58","354.45","316.95","","-2.96%"
"01/01/2009","352.67","333.61","385.42","313.91","","7.33%"
"12/01/2008","328.58","371.10","376.62","304.05","","-11.77%"
"11/01/2008","372.42","391.08","412.42","319.44","","-4.93%"
"10/01/2008","391.73","422.10","435.74","362.06","","-10.66%"
"09/01/2008","438.47","454.77","472.77","396.82","","-3.77%"
"08/01/2008","455.65","464.92","500.46","424.54","","-2.05%"
"07/01/2008","465.21","400.03","470.64","380.71","","15.43%"
"06/01/2008","403.03","457.78","475.08","393.95","","-11.37%"
"05/01/2008","454.74","451.57","472.27","441.32","","0.64%"
"04/01/2008","451.87","434.65","472.45","410.95","","4.00%"
"03/01/2008","434.49","487.25","495.14","398.35","","-12.25%"
"02/01/2008","495.14","441.04","503.47","432.32","","12.37%"
"01/01/2008","440.63","529.30","538.54","426.24","","-17.21%"
"12/01/2007","532.20","486.35","532.20","479.97","","9.25%"
"11/01/2007","487.12","523.09","528.69","453.63","","-6.72%"
"10/01/2007","522.20","484.93","548.38","480.07","","6.57%"
"09/01/2007","490.02","471.85","498.01","453.81","","3.85%"
"08/01/2007","471.85","501.50","508.37","406.93","","-5.91%"
"07/01/2007","501.50","483.26","513.74","472.40","","3.77%"
"06/01/2007","483.26","491.61","517.55","452.34","","-1.70%"
"05/01/2007","491.61","434.75","500.02","425.11","","13.08%"
