"Date","Price","Open","High","Low","Change %"
"01/30/2022","539.37","533.60","539.37","525.19","1.55%"
"01/23/2022","531.16","524.12","537.66","516.43","1.51%"
"01/16/2022","523.28","557.11","557.11","523.08","-5.71%"
"01/09/2022","554.98","574.57","581.46","541.92","-3.04%"
"01/02/2022","572.36","566.57","572.36","548.16","2.30%"
"12/26/2021","559.50","554.02","566.45","553.36","0.99%"
"12/19/2021","554.00","577.27","623.90","554.00","-3.91%"
"12/12/2021","576.56","499.95","576.56","499.95","15.30%"
"12/05/2021","500.06","533.50","537.42","478.11","-6.52%"
"11/28/2021","534.91","494.69","534.91","481.92","8.40%"
"11/21/2021","493.44","443.14","493.44","422.28","11.73%"
"11/14/2021","441.64","401.53","443.10","401.53","9.67%"
"11/07/2021","402.69","440.18","440.18","385.53","2.27%"
"10/31/2021","393.74","443.16","443.16","393.74","-11.22%"
"10/24/2021","443.52","455.79","456.84","437.01","-2.30%"
"10/17/2021","453.97","442.34","453.97","436.20","2.63%"
"10/10/2021","442.32","429.40","442.32","429.40","3.03%"
"10/03/2021","429.31","430.09","434.20","419.45","0.17%"
"09/26/2021","428.60","415.50","430.24","415.50","2.70%"
"09/19/2021","417.33","381.91","417.33","381.91","9.82%"
"09/12/2021","380.02","357.82","380.02","357.82","5.56%"
"09/05/2021","360.02","358.78","360.90","357.78","-0.38%"
"08/29/2021","361.39","362.93","364.20","358.76","-0.76%"
"08/22/2021","364.15","379.75","379.75","362.91","-5.01%"
"08/15/2021","383.36","379.46","384.59","374.81","0.87%"
"08/08/2021","380.06","377.65","388.72","377.60","-1.06%"
"08/01/2021","384.14","375.51","384.14","372.68","1.74%"
"07/25/2021","377.56","374.58","381.62","373.60","-0.22%"
"07/18/2021","378.39","372.52","383.44","370.66","0.81%"
"07/11/2021","375.36","383.35","385.10","375.36","-2.16%"
"07/04/2021","383.66","379.71","388.30","379.71","0.68%"
"06/27/2021","381.05","375.60","381.22","375.60","1.42%"
"06/20/2021","375.73","382.55","385.15","375.64","-2.18%"
"06/13/2021","384.11","367.06","401.64","367.06","4.19%"
"06/06/2021","368.67","400.71","400.71","368.03","-8.07%"
"05/30/2021","401.04","407.66","407.76","395.76","-1.25%"
"05/23/2021","406.10","397.56","406.10","394.04","2.27%"
"05/16/2021","397.09","400.47","405.44","394.97","-0.59%"
"05/09/2021","399.45","411.32","411.32","382.50","2.59%"
